timestamp,basket_mid,theoretical_value,discount,discount_pct,type,profit_potential
0,59228.5,59318.5,-90.0,-0.15172332408944933,buy_basket_sell_components,90.0
100,59228.0,59316.5,-88.5,-0.14919963248000134,buy_basket_sell_components,88.5
200,59234.5,59318.5,-84.0,-0.14160843581681937,buy_basket_sell_components,84.0
300,59228.5,59318.5,-90.0,-0.15172332408944933,buy_basket_sell_components,90.0
400,59230.5,59318.5,-88.0,-0.14835169466523934,buy_basket_sell_components,88.0
500,59234.0,59318.5,-84.5,-0.14245134317287186,buy_basket_sell_components,84.5
600,59238.5,59323.0,-84.5,-0.14244053739696239,buy_basket_sell_components,84.5
700,59244.0,59318.5,-74.5,-0.12559319605182195,buy_basket_sell_components,74.5
800,59241.5,59321.5,-80.0,-0.1348583565823521,buy_basket_sell_components,80.0
900,59242.5,59318.5,-76.0,-0.12812191811997944,buy_basket_sell_components,76.0
1000,59238.5,59317.0,-78.5,-0.13233980140600501,buy_basket_sell_components,78.5
1100,59237.5,59317.0,-79.5,-0.1340256587487567,buy_basket_sell_components,79.5
1200,59236.5,59317.0,-80.5,-0.13571151609150833,buy_basket_sell_components,80.5
1300,59231.5,59317.0,-85.5,-0.14414080280526662,buy_basket_sell_components,85.5
1400,59234.5,59317.0,-82.5,-0.13908323077701165,buy_basket_sell_components,82.5
1500,59229.5,59314.0,-84.5,-0.14246215058839395,buy_basket_sell_components,84.5
1600,59228.5,59311.0,-82.5,-0.13909730066935308,buy_basket_sell_components,82.5
1700,59230.5,59311.0,-80.5,-0.13572524489555057,buy_basket_sell_components,80.5
1800,59231.5,59305.5,-74.0,-0.12477763445211659,buy_basket_sell_components,74.0
1900,59235.0,59307.5,-72.5,-0.12224423555199596,buy_basket_sell_components,72.5
2000,59233.5,59307.5,-74.0,-0.12477342663238207,buy_basket_sell_components,74.0
2100,59230.5,59306.5,-76.0,-0.12814784214209235,buy_basket_sell_components,76.0
2200,59231.5,59306.5,-75.0,-0.12646168632443325,buy_basket_sell_components,75.0
2300,59229.5,59304.0,-74.5,-0.12562390395251585,buy_basket_sell_components,74.5
2400,59233.5,59307.5,-74.0,-0.12477342663238207,buy_basket_sell_components,74.0
2500,59234.5,59307.0,-72.5,-0.1222452661574519,buy_basket_sell_components,72.5
2600,59232.5,59309.0,-76.5,-0.12898548281036606,buy_basket_sell_components,76.5
2700,59230.5,59308.5,-78.0,-0.131515718657528,buy_basket_sell_components,78.0
2800,59235.5,59308.0,-72.5,-0.12224320496391718,buy_basket_sell_components,72.5
2900,59234.5,59309.0,-74.5,-0.1256133133251277,buy_basket_sell_components,74.5
3000,59233.5,59303.0,-69.5,-0.11719474562838306,buy_basket_sell_components,69.5
3100,59233.5,59302.5,-69.0,-0.11635259896294423,buy_basket_sell_components,69.0
3200,59230.5,59303.0,-72.5,-0.12225351162673051,buy_basket_sell_components,72.5
3300,59227.0,59304.0,-77.0,-0.12983947119924458,buy_basket_sell_components,77.0
3400,59224.0,59304.0,-80.0,-0.13489815189531904,buy_basket_sell_components,80.0
3500,59229.0,59304.0,-75.0,-0.1264670174018616,buy_basket_sell_components,75.0
3600,59229.5,59303.0,-73.5,-0.12393976695951302,buy_basket_sell_components,73.5
3700,59224.5,59303.5,-79.0,-0.13321304813375265,buy_basket_sell_components,79.0
3800,59232.5,59304.5,-72.0,-0.12140731310440185,buy_basket_sell_components,72.0
3900,59240.0,59309.0,-69.0,-0.11633984724072231,buy_basket_sell_components,69.0
4000,59237.0,59312.0,-75.0,-0.12644995953601296,buy_basket_sell_components,75.0
4100,59237.0,59313.5,-76.5,-0.12897569693240155,buy_basket_sell_components,76.5
4200,59233.0,59310.0,-77.0,-0.12982633619962905,buy_basket_sell_components,77.0
4300,59229.0,59310.5,-81.5,-0.1374124311884068,buy_basket_sell_components,81.5
4400,59224.5,59307.5,-83.0,-0.13994857311469883,buy_basket_sell_components,83.0
4500,59225.5,59309.0,-83.5,-0.1407880760087002,buy_basket_sell_components,83.5
4600,59223.0,59310.0,-87.0,-0.14668689934243803,buy_basket_sell_components,87.0
4700,59226.0,59309.5,-83.5,-0.1407868891155717,buy_basket_sell_components,83.5
4800,59227.0,59309.5,-82.5,-0.13910081858724152,buy_basket_sell_components,82.5
4900,59237.5,59314.0,-76.5,-0.12897460970428568,buy_basket_sell_components,76.5
5000,59239.5,59311.0,-71.5,-0.12055099391343933,buy_basket_sell_components,71.5
5100,59245.0,59312.5,-67.5,-0.11380400421496312,buy_basket_sell_components,67.5
5200,59242.0,59308.5,-66.5,-0.11212558065032836,buy_basket_sell_components,66.5
5300,59242.5,59311.0,-68.5,-0.11549291025273559,buy_basket_sell_components,68.5
5400,59240.5,59309.5,-69.0,-0.1163388664547838,buy_basket_sell_components,69.0
5500,59240.5,59309.5,-69.0,-0.1163388664547838,buy_basket_sell_components,69.0
5600,59242.5,59308.0,-65.5,-0.11044041276050448,buy_basket_sell_components,65.5
5700,59242.5,59312.5,-70.0,-0.11801896733403582,buy_basket_sell_components,70.0
5800,59246.5,59316.0,-69.5,-0.11716906062445209,buy_basket_sell_components,69.5
5900,59245.5,59315.5,-70.0,-0.11801299828881154,buy_basket_sell_components,70.0
6000,59241.0,59315.5,-74.5,-0.12559954817880656,buy_basket_sell_components,74.5
6100,59247.5,59318.5,-71.0,-0.11969284455945446,buy_basket_sell_components,71.0
6200,59239.5,59315.5,-76.0,-0.12812839814213822,buy_basket_sell_components,76.0
6300,59229.5,59313.5,-84.0,-0.14162037310224485,buy_basket_sell_components,84.0
6400,59230.5,59312.5,-82.0,-0.13825079030558482,buy_basket_sell_components,82.0
6500,59232.5,59314.5,-82.0,-0.13824612868691466,buy_basket_sell_components,82.0
6600,59233.5,59315.5,-82.0,-0.13824379799546493,buy_basket_sell_components,82.0
6700,59231.0,59315.5,-84.5,-0.14245854793435106,buy_basket_sell_components,84.5
6800,59231.5,59314.0,-82.5,-0.13909026536736688,buy_basket_sell_components,82.5
6900,59228.5,59314.0,-85.5,-0.1441480931989075,buy_basket_sell_components,85.5
7000,59236.0,59314.0,-78.0,-0.13150352362005596,buy_basket_sell_components,78.0
7100,59234.5,59313.5,-79.0,-0.13319058898901598,buy_basket_sell_components,79.0
7200,59237.5,59314.5,-77.0,-0.1298164866938101,buy_basket_sell_components,77.0
7300,59230.0,59315.0,-85.0,-0.1433027058922701,buy_basket_sell_components,85.0
7400,59232.0,59307.0,-75.0,-0.1264606201628813,buy_basket_sell_components,75.0
7500,59230.5,59307.0,-76.5,-0.12898983256613888,buy_basket_sell_components,76.5
7600,59224.0,59307.5,-83.5,-0.14079163680816084,buy_basket_sell_components,83.5
7700,59229.5,59308.5,-79.0,-0.1332018176146758,buy_basket_sell_components,79.0
